"","Term","Estimate","Std. Error","z value","Pr(>|z|)","deviance","N","converged","species"
"1","(Intercept)",-2.21066555324929,0.462881446908112,-4.7758785062909,1.7892439900946e-06,0.132152539624479,8770,TRUE,"Australian_King-Parrot"
"2","before.afterBefore",-0.483251150615713,0.127167900829767,-3.80010322937246,0.000144635824675005,0.132152539624479,8770,TRUE,"Australian_King-Parrot"
"3","(Intercept)",0.1081696771981,0.101528127303843,1.06541586130493,0.286687782205724,0.0726143551559588,8784,TRUE,"Australian_Magpie"
"4","before.afterBefore",-0.679476111595299,0.10432280641264,-6.51320775351543,7.35626538816445e-11,0.0726143551559588,8784,TRUE,"Australian_Magpie"
"5","(Intercept)",-5.15573036460014,0.43883173255049,-11.7487637793079,7.16594939092373e-32,0.303800927232714,8770,TRUE,"Australian_Pelican"
"6","before.afterBefore",-0.422246137316841,0.206859266291281,-2.04122418534672,0.041228548809599,0.303800927232714,8770,TRUE,"Australian_Pelican"
"7","(Intercept)",-1.80400766785939,0.254237745778496,-7.09575072078842,1.28651188996721e-12,0.137245698534461,8770,TRUE,"Australian_Raven"
"8","before.afterBefore",-0.734634781068034,0.118746573834278,-6.18657665098859,6.1484794606362e-10,0.137245698534461,8770,TRUE,"Australian_Raven"
"9","(Intercept)",-12.1321046662833,1.47669449399745,-8.2157174118266,2.10899574837012e-16,0.372599281469527,8770,TRUE,"Bell_Miner"
"10","before.afterBefore",-0.0773213861998433,0.1501371729773,-0.515004942923322,0.606549565939286,0.372599281469527,8770,TRUE,"Bell_Miner"
"11","(Intercept)",-2.25293834181982,0.171264123725184,-13.1547594021206,1.59791336332886e-39,0.128897856099955,8770,TRUE,"Black-faced_Cuckooshrike"
"12","before.afterBefore",0.349209753924971,0.174091083606398,2.00590258094147,0.0448666428446497,0.128897856099955,8770,TRUE,"Black-faced_Cuckooshrike"
"13","(Intercept)",-52.6192726296042,19.3248793823483,-2.72287715687724,0.00647161167630395,0.342616754768508,8770,TRUE,"Black-faced_Monarch"
"14","before.afterBefore",0.744542134407833,0.276343593808505,2.69426232809208,0.00705446183305713,0.342616754768508,8770,TRUE,"Black-faced_Monarch"
"15","(Intercept)",-3.25224650494658,0.25700168881328,-12.6545725048113,1.05548539176469e-36,0.144954335316144,8770,TRUE,"Brown-headed_Honeyeater"
"16","before.afterBefore",-0.369161204300316,0.224385663248824,-1.64520851713663,0.0999268177103993,0.144954335316144,8770,TRUE,"Brown-headed_Honeyeater"
"17","(Intercept)",-15.8181618044951,3.40009853360246,-4.65226570588103,3.28307663925117e-06,0.342707688082219,8770,TRUE,"Brown_Cuckoo-Dove"
"18","before.afterBefore",-0.348124110570402,0.225629295551956,-1.54290297152587,0.122854319741659,0.342707688082219,8770,TRUE,"Brown_Cuckoo-Dove"
"19","(Intercept)",-4.88381224114687,0.859353506371864,-5.68312365625412,1.32256569480929e-08,0.208250467090498,8770,TRUE,"Brown_Gerygone"
"20","before.afterBefore",-0.170991086226184,0.160032161203393,-1.06847951649458,0.285304265319541,0.208250467090498,8770,TRUE,"Brown_Gerygone"
"21","(Intercept)",-0.479290636200622,0.108842778439314,-4.40351342618336,1.0651168887702e-05,0.0912904421244553,8770,TRUE,"Brown_Thornbill"
"22","before.afterBefore",0.193127685197976,0.111766001112049,1.72796452656797,0.0839945843963531,0.0912904421244553,8770,TRUE,"Brown_Thornbill"
"23","(Intercept)",-202.699735686453,50.8071564540896,-3.98959024344566,6.6187534480707e-05,0.345902321491942,8770,TRUE,"Chestnut_Teal"
"24","before.afterBefore",-0.520089862087957,0.217963925004584,-2.38612817271032,0.0170268156496162,0.345902321491942,8770,TRUE,"Chestnut_Teal"
"25","(Intercept)",-3.47139361674034,0.25079690425313,-13.8414532152146,1.43280343920658e-43,0.159473587741151,8770,TRUE,"Common_Bronzewing"
"26","before.afterBefore",-0.126552467500051,0.238046928004395,-0.531628232134607,0.59498350720459,0.159473587741151,8770,TRUE,"Common_Bronzewing"
"27","(Intercept)",-2.29504436820595,0.161438776028475,-14.2161903395572,7.27045794363857e-46,0.106686430380102,8770,TRUE,"Crested_Pigeon"
"28","before.afterBefore",-1.14776426757253,0.153078568549777,-7.49787692977614,6.4859752605438e-14,0.106686430380102,8770,TRUE,"Crested_Pigeon"
"29","(Intercept)",-0.558992688347607,0.118963003787774,-4.69887839537769,2.61594148395757e-06,0.191955667499724,8773,TRUE,"Crimson_Rosella"
"30","before.afterBefore",-0.128534069530119,0.121449602212999,-1.0583325691318,0.289903849530493,0.191955667499724,8773,TRUE,"Crimson_Rosella"
"31","(Intercept)",-3.1130713282372,0.212141870416519,-14.674478555907,9.39348940193928e-49,0.249818779798324,8770,TRUE,"Dusky_Woodswallow"
"32","before.afterBefore",0.0808085369637967,0.21112008708197,0.382761006215491,0.701896976200238,0.249818779798324,8770,TRUE,"Dusky_Woodswallow"
"33","(Intercept)",-38.426429307227,4.76421373531136,-8.06563925174439,7.28536420330544e-16,0.196324997102416,8770,TRUE,"Eastern_Rosella"
"34","before.afterBefore",0.184484985898718,0.234804865321343,0.785694903068727,0.432046249988629,0.196324997102416,8770,TRUE,"Eastern_Rosella"
"35","(Intercept)",-1.22663899541653,0.12416255317552,-9.87929906436862,5.11897100833164e-23,0.140418274244881,8770,TRUE,"Eastern_Spinebill"
"36","before.afterBefore",0.44910380040389,0.12701945975022,3.53570863304756,0.000406682971954899,0.140418274244881,8770,TRUE,"Eastern_Spinebill"
"37","(Intercept)",-3.20264801166782,0.447413089757259,-7.15814553705926,8.17757147138139e-13,0.199301292495509,8770,TRUE,"Eastern_Whipbird"
"38","before.afterBefore",0.477145898267165,0.139672727689293,3.41617083134937,0.000635083924685425,0.199301292495509,8770,TRUE,"Eastern_Whipbird"
"39","(Intercept)",-0.676676272430759,0.128129966396486,-5.28117107544419,1.28360762633221e-07,0.130565128426728,8770,TRUE,"Eastern_Yellow_Robin"
"40","before.afterBefore",0.31034263040168,0.112648151017622,2.75497314068769,0.00586969538158341,0.130565128426728,8770,TRUE,"Eastern_Yellow_Robin"
"41","(Intercept)",-35.2879995563377,7.31124440816174,-4.82653808111582,1.38926839153809e-06,0.217385418620738,8770,TRUE,"Eurasian_Blackbird"
"42","before.afterBefore",0.0979397312936118,0.216554294417245,0.452264091816655,0.651078741042054,0.217385418620738,8770,TRUE,"Eurasian_Blackbird"
"43","(Intercept)",-2.85249568568808,0.23792254777576,-11.9891776225284,4.04905029776621e-33,0.210758481520195,8770,TRUE,"European_Starling"
"44","before.afterBefore",-0.67180408964727,0.239339482248932,-2.80690876129054,0.00500194067329644,0.210758481520195,8770,TRUE,"European_Starling"
"45","(Intercept)",-2.82261062239516,0.272315792786801,-10.3652108954438,3.56970138813617e-25,0.181827437192878,8770,TRUE,"Fan-tailed_Cuckoo"
"46","before.afterBefore",0.881307140141465,0.27560602560243,3.19770635716353,0.00138525259326872,0.181827437192878,8770,TRUE,"Fan-tailed_Cuckoo"
"47","(Intercept)",-1.85854510047228,0.154960386644275,-11.9936787763619,3.83487477090622e-33,0.136330747039373,8770,TRUE,"Galah"
"48","before.afterBefore",-0.503070523432795,0.156276368754794,-3.21910809318932,0.0012859000202334,0.136330747039373,8770,TRUE,"Galah"
"49","(Intercept)",-194.108951711945,62.7263310538107,-3.09453699030198,0.00197120352756702,0.221985407783974,8770,TRUE,"Gang-gang_Cockatoo"
"50","before.afterBefore",-0.486726289976858,0.199115060266153,-2.44444739301117,0.0145074236653056,0.221985407783974,8770,TRUE,"Gang-gang_Cockatoo"
"51","(Intercept)",-0.94169740853144,0.121574733347481,-7.74583157702607,9.49583097617696e-15,0.124449345721174,8771,TRUE,"Golden_Whistler"
"52","before.afterBefore",-0.05033748552511,0.124812352193323,-0.403305319069235,0.686723629224325,0.124449345721174,8771,TRUE,"Golden_Whistler"
"53","(Intercept)",-1.92557984146243,0.298609265579261,-6.44849327674771,1.12967573784425e-10,0.139956081406293,8770,TRUE,"Gray_Butcherbird"
"54","before.afterBefore",-0.399139724815205,0.142933552618819,-2.79248446220074,0.0052304979561637,0.139956081406293,8770,TRUE,"Gray_Butcherbird"
"55","(Intercept)",0.151173164343472,0.106141686118542,1.4242581767039,0.154371749582823,0.108463242455089,8772,TRUE,"Gray_Fantail"
"56","before.afterBefore",0.0785664531491576,0.109104732615428,0.720101239110205,0.471462664654982,0.108463242455089,8772,TRUE,"Gray_Fantail"
