,Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,species,WB,Family
5,(Intercept),-2.342004103,0.182420981,-12.83845802,9.98E-38,0.038730267,8770,TRUE,Australian_Pelican,1,Pelecanidae
6,before.afterBefore,-0.539748392,0.189694496,-2.845356101,0.00443618,0.038730267,8770,TRUE,Australian_Pelican,1,Pelecanidae
23,(Intercept),-2.488147301,0.179929487,-13.82845773,1.72E-43,0.073259297,8770,TRUE,Chestnut_Teal,1,Anatidae
24,before.afterBefore,-0.711255648,0.185302135,-3.838356473,0.000123861,0.073259297,8770,TRUE,Chestnut_Teal,1,Anatidae
59,(Intercept),-1.564790236,0.13306593,-11.75951073,6.31E-32,0.030940318,8771,TRUE,Great_Cormorant,1,Phalacrocoracidae 
60,before.afterBefore,-0.871255927,0.138965809,-6.269570414,3.62E-10,0.030940318,8771,TRUE,Great_Cormorant,1,Phalacrocoracidae 
69,(Intercept),-2.302289294,0.184469278,-12.48061095,9.53E-36,0.030774986,8770,TRUE,Little_Black_Cormorant,1,Phalacrocoracidae 
70,before.afterBefore,-0.475429788,0.192169258,-2.474015835,0.013360377,0.030774986,8770,TRUE,Little_Black_Cormorant,1,Phalacrocoracidae 
71,(Intercept),-2.238595244,0.173301537,-12.91734214,3.59E-38,0.038981825,8770,TRUE,Little_Pied_Cormorant,1,Phalacrocoracidae 
72,before.afterBefore,-0.277164806,0.178863139,-1.549591536,0.121239586,0.038981825,8770,TRUE,Little_Pied_Cormorant,1,Phalacrocoracidae 
79,(Intercept),-1.536606772,0.135681368,-11.3251126,9.86E-30,0.024066128,8770,TRUE,Maned_Duck,1,Anatidae
80,before.afterBefore,-0.681276603,0.141778313,-4.805224356,1.55E-06,0.024066128,8770,TRUE,Maned_Duck,1,Anatidae
93,(Intercept),-1.983978945,0.152370039,-13.02079433,9.32E-39,0.021490152,8770,TRUE,Pacific_Black_Duck,1,Anatidae
94,before.afterBefore,-0.334221695,0.157537495,-2.121537447,0.0338766,0.021490152,8770,TRUE,Pacific_Black_Duck,1,Anatidae
119,(Intercept),-2.057373537,0.146417456,-14.05142248,7.55E-45,0.039551689,8770,TRUE,Silver_Gull,1,Laridae 
120,before.afterBefore,-0.456214124,0.15020323,-3.037312338,0.00238698,0.039551689,8770,TRUE,Silver_Gull,1,Laridae 
155,(Intercept),-2.215408044,0.161782864,-13.69371264,1.11E-42,0.056208503,8770,TRUE,White-faced_Heron,1,Ardeidae
156,before.afterBefore,-0.257630532,0.166144465,-1.550641673,0.12098758,0.056208503,8770,TRUE,White-faced_Heron,1,Ardeidae
1,(Intercept),-1.045010019,0.117461192,-8.896640684,5.76E-19,0.045754185,8770,TRUE,Australian_King-Parrot,0,
2,before.afterBefore,-0.512169458,0.121646787,-4.21029991,2.55E-05,0.045754185,8770,TRUE,Australian_King-Parrot,0,
