,Term,Estimate,SE,z value,Pr(>|z|),deviance,N,converged,species,value,Eplusse,Eminuse,response
40,before.afterBefore,0.973622078,0.318865016,3.053398862,0.00226265,0.24145054,8289,TRUE,Olive-backed_Oriole,-0.973622078,1.292487094,0.654757062,Decrease After Fire
21,before.afterBefore,0.904952075,0.276247694,3.275871955,0.001053363,0.184628845,8289,TRUE,Fan-tailed_Cuckoo,-0.904952075,1.181199769,0.62870438,Decrease After Fire
6,before.afterBefore,0.769478803,0.276730858,2.78060354,0.005425795,0.339293744,8289,TRUE,Black-faced_Monarch,-0.769478803,1.046209661,0.492747945,Decrease After Fire
50,before.afterBefore,0.717151873,0.244543995,2.932608801,0.003361271,0.247224503,8289,TRUE,Scarlet_Myzomela,-0.717151873,0.961695868,0.472607877,Decrease After Fire
68,before.afterBefore,0.676823143,0.356459822,1.898736131,0.057599179,0.553054461,8770,TRUE,White-cheeked_Honeyeater,-0.676823143,1.033282965,0.320363321,Decrease After Fire
74,before.afterBefore,0.651630624,0.122374078,5.324907334,1.01E-07,0.126971858,8289,TRUE,Yellow-faced_Honeyeater,-0.651630624,0.774004702,0.529256546,Decrease After Fire
51,before.afterBefore,0.530981778,0.311256871,1.70592789,0.088021506,0.279345953,8289,TRUE,Scarlet_Robin,-0.530981778,0.842238649,0.219724906,Decrease After Fire
46,before.afterBefore,0.522195,0.195825426,2.666635328,0.007661475,0.294282816,8289,TRUE,Rufous_Fantail,-0.522195,0.718020426,0.326369574,Decrease After Fire
37,before.afterBefore,0.50548052,0.14548205,3.474521565,0.000511765,0.292124994,8289,TRUE,New_Holland_Honeyeater,-0.50548052,0.65096257,0.35999847,Decrease After Fire
17,before.afterBefore,0.498111427,0.140715982,3.539835488,0.000400377,0.200859003,8289,TRUE,Eastern_Whipbird,-0.498111427,0.638827409,0.357395445,Decrease After Fire
16,before.afterBefore,0.473459908,0.127710289,3.707296495,0.000209484,0.143957942,8289,TRUE,Eastern_Spinebill,-0.473459908,0.601170197,0.345749618,Decrease After Fire
53,before.afterBefore,0.471998291,0.139322305,3.387815698,0.000704516,0.067761262,8289,TRUE,Silvereye,-0.471998291,0.611320596,0.332675987,Decrease After Fire
54,before.afterBefore,0.424262904,0.14010373,3.028205619,0.002460106,0.120287338,8289,TRUE,Spotted_Pardalote,-0.424262904,0.564366634,0.284159173,Decrease After Fire
70,before.afterBefore,0.389740945,0.152976637,2.54771547,0.010843087,0.102728002,8289,TRUE,White-naped_Honeyeater,-0.389740945,0.542717582,0.236764308,Decrease After Fire
5,before.afterBefore,0.366476945,0.174943807,2.094826619,0.036186408,0.136189072,8289,TRUE,Black-faced_Cuckooshrike,-0.366476945,0.541420752,0.191533137,Decrease After Fire
66,before.afterBefore,0.354233904,0.274571939,1.290131488,0.197005009,0.259924524,8289,TRUE,White-bellied_Sea-Eagle,-0.354233904,0.628805843,0.079661965,Decrease After Fire
