Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,species,COMMON.NAME,median.sev,species_name,X99_Body_mass_average_8,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10,X171_Food_Intertidal_invertebrates_10,X172_Food_Fish_or_invertebrates_Marine_10,X173_Food_fish_or_invertebrates_Inland_waters_10,X115_Feeding_habitat_Terrestrial_Arid_shrubland_9,X116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,X117_Feeding_habitat_Terrestrial_Heath_9,X118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,X119_Feeding_habitat_Terrestrial_Other_grassland_9,X120_Feeding_habitat_Terrestrial_Mallee_9,X121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,X122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,X123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,X124_Feeding_habitat_Terrestrial_Rainforest_9,X125_Feeding_habitat_Terrestrial_Mangrove_trees_9,X126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,X127_Feeding_habitat_Inland_waters_Deep_open_water_9,X128_Feeding_habitat_Inland_waters_Shallow_open_water_9,X129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,X130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,X131_Feeding_habitat_Coastal_Sandy_9,X132_Feeding_habitat_Coastal_Rocky_9,X133_Feeding_habitat_Coastal_Soft_mud_9,X134_Feeding_habitat_Coastal_Saltmarsh_9,X135_Feeding_habitat_Coastal_Mangrove_floor_9,X136_Feeding_habitat_Marine_Very_cold_pelagic_9,X137_Feeding_habitat_Marine_Cold_pelagic_9,X138_Feeding_habitat_Marine_Temperate_pelagic_9,X139_Feeding_habitat_Marine_Warm_pelagic_9,X140_Feeding_habitat_Marine_Cold_inshore_9,X141_Feeding_habitat_Marine_Temperate_inshore_9,X142_Feeding_habitat_Marine_Warm_inshore_9,X143_Feeding_habitat_Other_non.Australian_habitat_9,X144_Feeding_habitat_Agricultural_landscapes_9,X145_Feeding_habitat_Urban_landscapes_9,X193_National_movement_local_dispersal_13,X194_National_movement_Partial_migrant_13,X195_National_movement_Total_migrant_13,X196_National_movement_Nomadic_or_opportunistic_13,X197_National_movement_Irruptive_13,foodspec,habitatspec,feeding_specialisation
before.afterBefore,-0.5121694581935117,0.12164678742493457,-4.210299910382423,2.5503190809344175e-5,0.04575418507397902,8770,TRUE,Australian_King-Parrot,Australian King-Parrot,1.0889999866485596,Australian_King-Parrot,207,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,7,generalist
before.afterBefore,-0.7141674271947414,0.1033506734283892,-6.9101381104166855,4.8418208546566906e-12,0.018413825016497184,8784,TRUE,Australian_Magpie,Australian Magpie,1.496999979019165,Australian_Magpie,280,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,5,7,generalist
before.afterBefore,-0.5397483915421812,0.1896944959959162,-2.8453561011796626,0.0044361798316764735,0.03873026671898941,8770,TRUE,Australian_Pelican,Australian Pelican,1.9046000242233276,Australian_Pelican,5400,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,4,7,generalist
before.afterBefore,-0.5872014406747995,0.11036256435098786,-5.320657816606301,1.0339271300177376e-7,0.03078869288870391,8770,TRUE,Australian_Raven,Australian Raven,1.3105000257492065,Australian_Raven,593,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,12,generalist
before.afterBefore,-0.025818816647958407,0.12853006743644313,-0.2008776402511853,0.8407942518303594,0.018799467436441068,8770,TRUE,Bell_Miner,Bell Miner,2.968100070953369,Bell_Miner,31.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,generalist
before.afterBefore,0.38358280441079307,0.16872893156365454,2.2733671152660797,0.02300406611851414,0.07512525433917172,8770,TRUE,Black-faced_Cuckooshrike,Black-faced Cuckooshrike,1.5234500169754028,Black-faced_Cuckooshrike,115,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,11,generalist
before.afterBefore,0.8359527123905647,0.25967699344135786,3.219202060652884,0.0012854786833064338,0.184849514659455,8770,TRUE,Black-faced_Monarch,Black-faced Monarch,1.5499000549316406,Black-faced_Monarch,22.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,specialist
before.afterBefore,-0.5000146762747946,0.19507521365121766,-2.563189176707963,0.01037155198158613,0.05029820054523379,8770,TRUE,Brown_Cuckoo-Dove,Brown Cuckoo-Dove,1.5499000549316406,Brown_Cuckoo-Dove,202,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,4,generalist
before.afterBefore,-0.012207558553726966,0.1489090134999573,-0.08197998406409741,0.9346626302741154,0.04118092505499528,8770,TRUE,Brown_Gerygone,Brown Gerygone,1.5499000549316406,Brown_Gerygone,5.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,specialist
before.afterBefore,0.1970584392182657,0.10889890381486012,1.8095539285986415,0.07036498997109979,0.053602366381076405,8770,TRUE,Brown_Thornbill,Brown Thornbill,2.401700019836426,Brown_Thornbill,9,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,10,generalist
before.afterBefore,-0.14194442218857894,0.2139960568826516,-0.663303914363322,0.5071359301052375,0.03324556073225734,8770,TRUE,Brown-headed_Honeyeater,Brown-headed Honeyeater,2.5295000076293945,Brown-headed_Honeyeater,15.3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,generalist
before.afterBefore,-0.7112556475730298,0.1853021345611412,-3.8383564725658794,1.2386057970264458e-4,0.07325929691259792,8770,TRUE,Chestnut_Teal,Chestnut Teal,0.6863999962806702,Chestnut_Teal,638,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,3,9,generalist
before.afterBefore,-0.020874098494491383,0.228569507688896,-0.09132494839557925,0.9272343948651617,0.06671032810217425,8770,TRUE,Common_Bronzewing,Common Bronzewing,1.3940000534057617,Common_Bronzewing,331,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,2,11,generalist
before.afterBefore,-1.1823606338251484,0.14568612031513026,-8.115808364363136,4.825616883648845e-16,0.019808501078420495,8770,TRUE,Crested_Pigeon,Crested Pigeon,0.34139999747276306,Crested_Pigeon,192,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,9,generalist
before.afterBefore,-0.11482583584834453,0.10822199851707147,-1.0610212103062515,0.2886802621063969,0.046176753542916754,8773,TRUE,Crimson_Rosella,Crimson Rosella,1.6001999378204346,Crimson_Rosella,126,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,7,generalist
before.afterBefore,0.49938396736429935,0.19860590506516124,2.514446724030964,0.011921931373742561,0.08814477335152301,8770,TRUE,Dusky_Woodswallow,Dusky Woodswallow,1.9879000186920166,Dusky_Woodswallow,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,6,generalist
before.afterBefore,0.28859466161011943,0.22088278121702487,1.306551194348487,0.1913651814102869,0.02945835849881195,8770,TRUE,Eastern_Rosella,Eastern Rosella,1.0333000421524048,Eastern_Rosella,104,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,8,generalist
before.afterBefore,0.13375406763974274,0.1183003676898543,1.130631039037876,0.25821041766319924,0.05311116472820257,8770,TRUE,Eastern_Spinebill,Eastern Spinebill,0.44449999928474426,Eastern_Spinebill,10.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,5,generalist
before.afterBefore,0.47724932619646876,0.13256390153064282,3.6001454444681547,3.1803923140521644e-4,0.0540426383449761,8770,TRUE,Eastern_Whipbird,Eastern Whipbird,2.031649947166443,Eastern_Whipbird,58.7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,generalist
before.afterBefore,0.29633075291502226,0.1100821348006708,2.6919059432449934,0.007104497840352391,0.07566045318912971,8770,TRUE,Eastern_Yellow_Robin,Eastern Yellow Robin,2.1433000564575195,Eastern_Yellow_Robin,19.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,8,specialist
before.afterBefore,-0.19699582076624345,0.20572835697375835,-0.9575530746661784,0.3382881711005633,0.03996463519917175,8770,TRUE,Eurasian_Blackbird,Eurasian Blackbird,0.34139999747276306,Eurasian_Blackbird,105,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,8,generalist
before.afterBefore,-0.2640047042015361,0.21896073536532842,-1.2057171061334506,0.22792658695308057,0.03269584527338273,8770,TRUE,European_Starling,European Starling,0.9695000052452087,European_Starling,77.5,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,5,8,generalist
