Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,species,COMMON.NAME,median.sev,species_name,X99_Body_mass_average_8,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10,X171_Food_Intertidal_invertebrates_10,X172_Food_Fish_or_invertebrates_Marine_10,X173_Food_fish_or_invertebrates_Inland_waters_10,X115_Feeding_habitat_Terrestrial_Arid_shrubland_9,X116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,X117_Feeding_habitat_Terrestrial_Heath_9,X118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,X119_Feeding_habitat_Terrestrial_Other_grassland_9,X120_Feeding_habitat_Terrestrial_Mallee_9,X121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,X122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,X123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,X124_Feeding_habitat_Terrestrial_Rainforest_9,X125_Feeding_habitat_Terrestrial_Mangrove_trees_9,X126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,X127_Feeding_habitat_Inland_waters_Deep_open_water_9,X128_Feeding_habitat_Inland_waters_Shallow_open_water_9,X129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,X130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,X131_Feeding_habitat_Coastal_Sandy_9,X132_Feeding_habitat_Coastal_Rocky_9,X133_Feeding_habitat_Coastal_Soft_mud_9,X134_Feeding_habitat_Coastal_Saltmarsh_9,X135_Feeding_habitat_Coastal_Mangrove_floor_9,X136_Feeding_habitat_Marine_Very_cold_pelagic_9,X137_Feeding_habitat_Marine_Cold_pelagic_9,X138_Feeding_habitat_Marine_Temperate_pelagic_9,X139_Feeding_habitat_Marine_Warm_pelagic_9,X140_Feeding_habitat_Marine_Cold_inshore_9,X141_Feeding_habitat_Marine_Temperate_inshore_9,X142_Feeding_habitat_Marine_Warm_inshore_9,X143_Feeding_habitat_Other_non.Australian_habitat_9,X144_Feeding_habitat_Agricultural_landscapes_9,X145_Feeding_habitat_Urban_landscapes_9,X193_National_movement_local_dispersal_13,X194_National_movement_Partial_migrant_13,X195_National_movement_Total_migrant_13,X196_National_movement_Nomadic_or_opportunistic_13,X197_National_movement_Irruptive_13,foodspec,habitatspec,movetotal,localonly,localdisperse,feeding_specialisation
before.afterBefore,-0.48325115061571267,0.12716790082976662,-3.8001032293724584,1.446358246750051e-4,0.13215253962447912,8770,TRUE,Australian_King-Parrot,Australian King-Parrot,1.0889999866485596,Australian_King-Parrot,207,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,7,2,FALSE,TRUE,generalist
before.afterBefore,-0.6794761115952987,0.10432280641264036,-6.513207753515434,7.356265388164449e-11,0.07261435515595879,8784,TRUE,Australian_Magpie,Australian Magpie,1.496999979019165,Australian_Magpie,280,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,5,7,2,FALSE,TRUE,generalist
before.afterBefore,-0.7346347810680344,0.1187465738342776,-6.18657665098859,6.148479460636201e-10,0.13724569853446064,8770,TRUE,Australian_Raven,Australian Raven,1.3105000257492065,Australian_Raven,593,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,12,1,TRUE,TRUE,generalist
before.afterBefore,-0.07732138619984326,0.15013717297729998,-0.5150049429233218,0.6065495659392862,0.3725992814695266,8770,TRUE,Bell_Miner,Bell Miner,2.968100070953369,Bell_Miner,31.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,1,TRUE,TRUE,generalist
before.afterBefore,0.349209753924971,0.17409108360639836,2.005902580941466,0.04486664284464969,0.12889785609995466,8770,TRUE,Black-faced_Cuckooshrike,Black-faced Cuckooshrike,1.5234500169754028,Black-faced_Cuckooshrike,115,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,11,2,FALSE,TRUE,generalist
before.afterBefore,0.7445421344078335,0.27634359380850454,2.69426232809208,0.007054461833057132,0.34261675476850817,8770,TRUE,Black-faced_Monarch,Black-faced Monarch,1.5499000549316406,Black-faced_Monarch,22.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,FALSE,FALSE,specialist
before.afterBefore,-0.3691612043003162,0.2243856632488236,-1.6452085171366295,0.09992681771039932,0.1449543353161445,8770,TRUE,Brown-headed_Honeyeater,Brown-headed Honeyeater,2.5295000076293945,Brown-headed_Honeyeater,15.3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,3,FALSE,TRUE,generalist
before.afterBefore,-0.3481241105704021,0.22562929555195585,-1.5429029715258729,0.12285431974165895,0.34270768808221874,8770,TRUE,Brown_Cuckoo-Dove,Brown Cuckoo-Dove,1.5499000549316406,Brown_Cuckoo-Dove,202,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,4,2,FALSE,TRUE,generalist
before.afterBefore,-0.17099108622618409,0.160032161203393,-1.0684795164945804,0.2853042653195409,0.20825046709049755,8770,TRUE,Brown_Gerygone,Brown Gerygone,1.5499000549316406,Brown_Gerygone,5.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,1,TRUE,TRUE,specialist
before.afterBefore,0.19312768519797613,0.11176600111204883,1.727964526567965,0.08399458439635314,0.09129044212445525,8770,TRUE,Brown_Thornbill,Brown Thornbill,2.401700019836426,Brown_Thornbill,9,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,10,1,TRUE,TRUE,generalist
